epoch,accuracy,loss,lr
0,0.3536345362663269,2.237666606903076,0.001
1,0.45803120732307434,1.8674767017364502,0.001
2,0.4895613491535187,1.7538490295410156,0.001
3,0.5022763609886169,1.708380937576294,0.001
4,0.5165684223175049,1.655138611793518,0.001
5,0.5250718593597412,1.6233478784561157,0.001
6,0.5315698981285095,1.5992428064346313,0.001
7,0.5362691879272461,1.5818873643875122,0.001
8,0.5402268767356873,1.5664852857589722,0.001
9,0.5436091423034668,1.5537285804748535,0.001
10,0.5468378067016602,1.542126178741455,0.001
11,0.5493816137313843,1.532649278640747,0.001
12,0.5518434643745422,1.524364948272705,0.001
13,0.5527377724647522,1.5211478471755981,0.001
14,0.5557119250297546,1.5100057125091553,0.001
15,0.5564447641372681,1.5071609020233154,0.001
16,0.3157259225845337,2.3802144527435303,0.001
17,0.3499346077442169,2.229248285293579,0.001
18,0.39378583431243896,2.0710978507995605,0.001
19,0.31561705470085144,2.3623239994049072,0.001
20,0.3368229568004608,2.2714221477508545,0.001
21,0.37709102034568787,2.12811017036438,0.001
22,0.4001687467098236,2.0483481884002686,0.001
23,0.4169260859489441,1.9900450706481934,0.001
24,0.42900902032852173,1.9483859539031982,0.001
25,0.43842193484306335,1.9160785675048828,0.001
26,0.44751110672950745,1.8845162391662598,0.0005
27,0.4509601294994354,1.8715744018554688,0.0005
28,0.2996530830860138,2.4517979621887207,0.0005
29,0.259403258562088,2.578307867050171,0.0005
30,0.3157601058483124,2.3458452224731445,0.0005
